region_code,region_name,state_name,population_hhri_2022,population_age_2024,area_sqkm,population_density_per_sqkm,hhri,hhri_quintile,exposure_index,exposure_quintile,vulnerability_index,vulnerability_quintile,housing_index,health_status_index,adaptive_capacity_index,ses_index,household_composition_index,language_culture_index,cool_places_index,social_connectedness_index,health_access_index,pct_children_0_14_2024,pct_working_age_15_64_2024,pct_65_plus_2024,median_age_2024,sex_ratio_2024,seifa_irsd_score,seifa_irsd_decile,seifa_irsad_score,seifa_irsad_decile,custom_simple_score,chart_status
101031016,Jindabyne - Berridale,New South Wales,8199.0,8557.0,3939.7888,2.081076021130879,0.217,2.0,0.018,1.0,0.207,2.0,0.804,0.144,0.188,0.103,0.072,0.53,0.551,0.511,0.069,13.8,71.5,14.7,37.6,111.3,1054.0,8.0,1025.0,7.0,0.397,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101041017,Batemans Bay,New South Wales,8635.0,8653.0,63.7073,135.5417667990953,0.442,3.0,0.063,1.0,0.883,5.0,0.523,0.969,0.535,0.834,0.95,0.485,0.973,0.304,0.296,15.1,53.4,31.6,52.3,97.6,946.0,2.0,909.0,2.0,0.581,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101041018,Batemans Bay - South,New South Wales,8953.0,9069.0,30.5948,292.6314275628538,0.342,2.0,0.092,1.0,0.756,4.0,0.381,0.97,0.588,0.706,0.821,0.371,0.788,0.507,0.345,13.6,52.4,34.0,54.3,95.1,989.0,4.0,954.0,4.0,0.522,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101041019,Bega - Tathra,New South Wales,8869.0,9009.0,183.8984,48.22771704375894,0.173,1.0,0.08,1.0,0.7,4.0,0.522,0.814,0.825,0.539,0.847,0.337,0.806,0.689,0.423,18.2,56.0,25.9,47.0,95.8,975.0,4.0,942.0,3.0,0.458,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101041020,Bega-Eden Hinterland,New South Wales,9623.0,9824.0,4709.8265,2.043175051140419,0.323,2.0,0.281,2.0,0.356,2.0,0.257,0.776,0.411,0.612,0.385,0.081,0.435,0.974,0.033,15.7,58.1,26.2,51.8,105.8,991.0,4.0,954.0,4.0,0.452,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101041021,Broulee - Tomakin,New South Wales,3823.0,3932.0,24.2329,157.7607302468957,0.15,1.0,0.108,1.0,0.525,3.0,0.216,0.904,0.723,0.466,0.723,0.246,0.751,0.622,0.43,14.6,53.7,31.7,53.0,91.8,1034.0,7.0,1002.0,6.0,0.406,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101041022,Deua - Wadbilliga,New South Wales,41.0,41.0,2781.9988,0.01473760520673122,,,0.003,1.0,0.117,1.0,0.0,0.518,,0.574,0.024,0.132,,,,2.4,53.7,43.9,62.5,141.2,1025.0,6.0,929.0,3.0,0.16,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101041023,Eden,New South Wales,3410.0,3459.0,94.8138,35.96522869033833,0.339,2.0,0.023,1.0,0.869,5.0,0.56,0.952,0.635,0.908,0.944,0.312,0.947,0.52,0.229,15.5,51.3,33.2,53.8,99.4,910.0,2.0,880.0,1.0,0.554,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101041024,Eurobodalla Hinterland,New South Wales,3562.0,3700.0,1460.0118,2.43970630922298,0.142,1.0,0.305,2.0,0.344,2.0,0.243,0.677,0.756,0.597,0.455,0.108,0.838,0.917,0.09,13.8,55.9,30.3,54.4,103.6,995.0,5.0,954.0,4.0,0.363,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101041025,Merimbula - Tura Beach,New South Wales,11495.0,11616.0,97.3395,118.0918332228951,0.124,1.0,0.036,1.0,0.527,3.0,0.36,0.915,0.711,0.495,0.689,0.109,0.933,0.634,0.22,13.3,51.9,34.9,55.1,95.4,1012.0,6.0,970.0,4.0,0.425,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101041026,Moruya - Tuross Head,New South Wales,8577.0,8684.0,165.4118,51.85240714386761,0.169,1.0,0.202,2.0,0.508,3.0,0.178,0.926,0.76,0.606,0.656,0.15,0.833,0.762,0.254,12.9,52.3,34.8,56.5,102.0,993.0,5.0,949.0,3.0,0.411,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101041027,Narooma - Bermagui,New South Wales,9914.0,10016.0,252.652,39.23974478729636,0.206,2.0,0.059,1.0,0.643,4.0,0.315,0.947,0.683,0.629,0.79,0.211,0.914,0.731,0.111,12.6,48.5,38.9,58.7,94.7,986.0,4.0,946.0,3.0,0.456,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101051539,Goulburn,New South Wales,24829.0,25304.0,64.7865,383.2434226266274,0.656,4.0,0.215,2.0,0.932,5.0,0.583,0.919,0.386,0.751,0.96,0.805,0.566,0.309,0.534,18.1,61.3,20.6,40.0,100.9,957.0,3.0,933.0,3.0,0.653,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101051540,Goulburn Surrounds,New South Wales,13935.0,14258.0,9035.1222,1.542314502398208,0.576,3.0,0.441,3.0,0.366,2.0,0.142,0.796,0.187,0.558,0.507,0.139,0.172,0.903,0.056,16.2,59.0,24.8,49.1,107.7,1017.0,6.0,987.0,5.0,0.512,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101061541,Yass,New South Wales,6782.0,6816.0,99.7341,68.00081416486438,0.573,3.0,0.334,2.0,0.627,4.0,0.292,0.949,0.346,0.416,0.857,0.329,0.259,0.701,0.388,19.2,59.1,21.7,41.7,95.7,1018.0,6.0,992.0,5.0,0.571,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101061542,Yass Surrounds,New South Wales,12782.0,13197.0,5680.5696,2.250126466190996,0.393,2.0,0.574,3.0,0.049,1.0,0.099,0.45,0.288,0.109,0.107,0.091,0.255,0.973,0.038,19.0,63.2,17.8,43.6,101.8,1086.0,10.0,1092.0,9.0,0.377,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101061543,Young,New South Wales,10987.0,10971.0,505.753,21.72404315940785,0.867,5.0,0.326,2.0,0.94,5.0,0.548,0.883,0.064,0.849,0.978,0.816,0.07,0.465,0.299,20.5,56.8,22.8,41.6,94.2,940.0,2.0,912.0,2.0,0.727,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101061544,Young Surrounds,New South Wales,7671.0,7769.0,5849.8086,1.311324955144686,0.786,4.0,0.57,3.0,0.64,4.0,0.199,0.899,0.213,0.759,0.771,0.26,0.122,0.862,0.178,18.0,55.8,26.1,49.7,105.1,970.0,3.0,948.0,3.0,0.619,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102011028,Avoca Beach - Copacabana,New South Wales,7477.0,7570.0,6.4376,1161.457686094197,0.023,1.0,0.262,2.0,0.057,1.0,0.243,0.224,0.866,0.08,0.254,0.11,0.995,0.853,0.137,20.1,61.3,18.6,44.1,99.6,1079.0,9.0,1084.0,9.0,0.184,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102011029,Box Head - MacMasters Beach,New South Wales,11051.0,11213.0,32.0802,344.4803960075062,0.07,1.0,0.29,2.0,0.198,1.0,0.057,0.788,0.807,0.3,0.304,0.165,0.905,0.857,0.134,16.2,53.0,30.8,51.5,96.2,1064.0,8.0,1051.0,8.0,0.305,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102011030,Calga - Kulnura,New South Wales,4691.0,4694.0,767.9512,6.108461058463091,0.369,2.0,0.585,3.0,0.311,2.0,0.536,0.502,0.593,0.443,0.212,0.304,0.844,0.769,0.031,14.1,62.8,23.1,49.3,105.9,1027.0,6.0,1021.0,6.0,0.468,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
